EDUC,mean_wage,sex,...4,...5
0,14047.309,1,NA,NA
1,13420.103,1,NA,NA
2,13215.604,1,NA,NA
3,9555.575,1,NA,NA
4,6902.099,1,NA,NA
5,7424.752,1,NA,NA
6,20792.199,1,NA,NA
7,23498.064,1,NA,NA
8,31938.569,1,NA,NA
10,36799.845,1,NA,NA
11,35196.349,1,NA,NA
0,7385.462,2,NA,NA
1,5897.789,2,NA,NA
2,5165.93,2,NA,NA
3,4730.52,2,NA,NA
4,3516.393,2,NA,NA
5,4110.021,2,NA,NA
6,11920.169,2,NA,NA
7,15612.565,2,NA,NA
8,22940.959,2,NA,NA
10,29198.806,2,NA,NA
11,35506.155,2,NA,NA
